Model,Experiment,Time,Temperature response
Hector v2.0,4xBC,2010,0
Hector v2.0,4xBC,2011,0
Hector v2.0,4xBC,2012,0
Hector v2.0,4xBC,2013,0
Hector v2.0,4xBC,2014,0
Hector v2.0,4xBC,2015,0.1858
Hector v2.0,4xBC,2016,0.36861
Hector v2.0,4xBC,2017,0.50212
Hector v2.0,4xBC,2018,0.60397
Hector v2.0,4xBC,2019,0.68418
Hector v2.0,4xBC,2020,0.74895
Hector v2.0,4xBC,2021,0.80238
Hector v2.0,4xBC,2022,0.84726
Hector v2.0,4xBC,2023,0.88558
Hector v2.0,4xBC,2024,0.91876
Hector v2.0,4xBC,2025,0.94788
Hector v2.0,4xBC,2026,0.9737
Hector v2.0,4xBC,2027,0.99685
Hector v2.0,4xBC,2028,1.01777
Hector v2.0,4xBC,2029,1.03685
Hector v2.0,4xBC,2030,1.05435
Hector v2.0,4xBC,2031,1.07051
Hector v2.0,4xBC,2032,1.08552
Hector v2.0,4xBC,2033,1.09953
Hector v2.0,4xBC,2034,1.11267
Hector v2.0,4xBC,2035,1.12504
Hector v2.0,4xBC,2036,1.13672
Hector v2.0,4xBC,2037,1.1478
Hector v2.0,4xBC,2038,1.15832
Hector v2.0,4xBC,2039,1.16835
Hector v2.0,4xBC,2040,1.17793
Hector v2.0,4xBC,2041,1.18711
Hector v2.0,4xBC,2042,1.19591
Hector v2.0,4xBC,2043,1.20438
Hector v2.0,4xBC,2044,1.21252
Hector v2.0,4xBC,2045,1.22038
Hector v2.0,4xBC,2046,1.22796
Hector v2.0,4xBC,2047,1.2353
Hector v2.0,4xBC,2048,1.2424
Hector v2.0,4xBC,2049,1.24928
Hector v2.0,4xBC,2050,1.25596
Hector v2.0,4xBC,2051,1.26244
Hector v2.0,4xBC,2052,1.26874
Hector v2.0,4xBC,2053,1.27488
Hector v2.0,4xBC,2054,1.28085
Hector v2.0,4xBC,2055,1.28667
Hector v2.0,4xBC,2056,1.29235
Hector v2.0,4xBC,2057,1.29788
Hector v2.0,4xBC,2058,1.3033
Hector v2.0,4xBC,2059,1.30859
Hector v2.0,4xBC,2060,1.31375
Hector v2.0,4xBC,2061,1.31881
Hector v2.0,4xBC,2062,1.32376
Hector v2.0,4xBC,2063,1.32861
Hector v2.0,4xBC,2064,1.33335
Hector v2.0,4xBC,2065,1.338
Hector v2.0,4xBC,2066,1.34257
Hector v2.0,4xBC,2067,1.34704
Hector v2.0,4xBC,2068,1.35144
Hector v2.0,4xBC,2069,1.35575
Hector v2.0,4xBC,2070,1.35999
Hector v2.0,4xBC,2071,1.36416
Hector v2.0,4xBC,2072,1.36826
Hector v2.0,4xBC,2073,1.37228
Hector v2.0,4xBC,2074,1.37624
Hector v2.0,4xBC,2075,1.38013
Hector v2.0,4xBC,2076,1.38397
Hector v2.0,4xBC,2077,1.38774
Hector v2.0,4xBC,2078,1.39145
Hector v2.0,4xBC,2079,1.39511
Hector v2.0,4xBC,2080,1.39872
Hector v2.0,4xBC,2081,1.40227
Hector v2.0,4xBC,2082,1.40578
Hector v2.0,4xBC,2083,1.40924
Hector v2.0,4xBC,2084,1.41264
Hector v2.0,4xBC,2085,1.416
Hector v2.0,4xBC,2086,1.41932
Hector v2.0,4xBC,2087,1.42259
Hector v2.0,4xBC,2088,1.42581
Hector v2.0,4xBC,2089,1.42901
Hector v2.0,4xBC,2090,1.43215
Hector v2.0,4xBC,2091,1.43526
Hector v2.0,4xBC,2092,1.43833
Hector v2.0,4xBC,2093,1.44136
Hector v2.0,4xBC,2094,1.44436
Hector v2.0,4xBC,2095,1.44732
Hector v2.0,4xBC,2096,1.45026
Hector v2.0,4xBC,2097,1.45315
Hector v2.0,4xBC,2098,1.45602
Hector v2.0,4xBC,2099,1.45885
Hector v2.0,4xBC,2100,1.46164
MAGICC 5.3,4xBC,2010,0
MAGICC 5.3,4xBC,2011,0
MAGICC 5.3,4xBC,2012,0
MAGICC 5.3,4xBC,2013,0
MAGICC 5.3,4xBC,2014,0
MAGICC 5.3,4xBC,2015,0.222554
MAGICC 5.3,4xBC,2016,0.574162
MAGICC 5.3,4xBC,2017,0.639712
MAGICC 5.3,4xBC,2018,0.686308
MAGICC 5.3,4xBC,2019,0.72296
MAGICC 5.3,4xBC,2020,0.753372
MAGICC 5.3,4xBC,2021,0.779428
MAGICC 5.3,4xBC,2022,0.802272
MAGICC 5.3,4xBC,2023,0.822653
MAGICC 5.3,4xBC,2024,0.84107
MAGICC 5.3,4xBC,2025,0.8579
MAGICC 5.3,4xBC,2026,0.87341
MAGICC 5.3,4xBC,2027,0.8878
MAGICC 5.3,4xBC,2028,0.90125
MAGICC 5.3,4xBC,2029,0.91388
MAGICC 5.3,4xBC,2030,0.92578
MAGICC 5.3,4xBC,2031,0.93705
MAGICC 5.3,4xBC,2032,0.94775
MAGICC 5.3,4xBC,2033,0.95796
MAGICC 5.3,4xBC,2034,0.96771
MAGICC 5.3,4xBC,2035,0.97703
MAGICC 5.3,4xBC,2036,0.986
MAGICC 5.3,4xBC,2037,0.99462
MAGICC 5.3,4xBC,2038,1.00291
MAGICC 5.3,4xBC,2039,1.01092
MAGICC 5.3,4xBC,2040,1.01866
MAGICC 5.3,4xBC,2041,1.02614
MAGICC 5.3,4xBC,2042,1.0334
MAGICC 5.3,4xBC,2043,1.04043
MAGICC 5.3,4xBC,2044,1.04727
MAGICC 5.3,4xBC,2045,1.05392
MAGICC 5.3,4xBC,2046,1.06038
MAGICC 5.3,4xBC,2047,1.06667
MAGICC 5.3,4xBC,2048,1.0728
MAGICC 5.3,4xBC,2049,1.07878
MAGICC 5.3,4xBC,2050,1.08463
MAGICC 5.3,4xBC,2051,1.09033
MAGICC 5.3,4xBC,2052,1.0959
MAGICC 5.3,4xBC,2053,1.10136
MAGICC 5.3,4xBC,2054,1.1067
MAGICC 5.3,4xBC,2055,1.11192
MAGICC 5.3,4xBC,2056,1.11705
MAGICC 5.3,4xBC,2057,1.12207
MAGICC 5.3,4xBC,2058,1.127
MAGICC 5.3,4xBC,2059,1.13183
MAGICC 5.3,4xBC,2060,1.13658
MAGICC 5.3,4xBC,2061,1.14123
MAGICC 5.3,4xBC,2062,1.1458
MAGICC 5.3,4xBC,2063,1.1503
MAGICC 5.3,4xBC,2064,1.15472
MAGICC 5.3,4xBC,2065,1.15906
MAGICC 5.3,4xBC,2066,1.16332
MAGICC 5.3,4xBC,2067,1.16752
MAGICC 5.3,4xBC,2068,1.17165
MAGICC 5.3,4xBC,2069,1.17571
MAGICC 5.3,4xBC,2070,1.17971
MAGICC 5.3,4xBC,2071,1.18365
MAGICC 5.3,4xBC,2072,1.18753
MAGICC 5.3,4xBC,2073,1.19134
MAGICC 5.3,4xBC,2074,1.1951
MAGICC 5.3,4xBC,2075,1.1988
MAGICC 5.3,4xBC,2076,1.20246
MAGICC 5.3,4xBC,2077,1.20605
MAGICC 5.3,4xBC,2078,1.2096
MAGICC 5.3,4xBC,2079,1.21309
MAGICC 5.3,4xBC,2080,1.21654
MAGICC 5.3,4xBC,2081,1.21995
MAGICC 5.3,4xBC,2082,1.2233
MAGICC 5.3,4xBC,2083,1.22661
MAGICC 5.3,4xBC,2084,1.22987
MAGICC 5.3,4xBC,2085,1.2331
MAGICC 5.3,4xBC,2086,1.23628
MAGICC 5.3,4xBC,2087,1.23942
MAGICC 5.3,4xBC,2088,1.24252
MAGICC 5.3,4xBC,2089,1.24558
MAGICC 5.3,4xBC,2090,1.24861
MAGICC 5.3,4xBC,2091,1.25159
MAGICC 5.3,4xBC,2092,1.25454
MAGICC 5.3,4xBC,2093,1.25745
MAGICC 5.3,4xBC,2094,1.26033
MAGICC 5.3,4xBC,2095,1.26317
MAGICC 5.3,4xBC,2096,1.26598
MAGICC 5.3,4xBC,2097,1.26875
MAGICC 5.3,4xBC,2098,1.27149
MAGICC 5.3,4xBC,2099,1.2742
MAGICC 5.3,4xBC,2100,1.27688
