Experiment ,Time,Model,CH4 concentration response ,CO2 concentration response,Total forcing response,Temperature response
CH4 emissions impulse,2290,MAGICC 5.3,0,0.017,0.0002,0.00039
CH4 emissions impulse,2291,MAGICC 5.3,0,0.018,0.0002,0.0004
CH4 emissions impulse,2292,MAGICC 5.3,0,0.017,0.0002,0.00039
CH4 emissions impulse,2293,MAGICC 5.3,0,0.017,0.0002,0.00039
CH4 emissions impulse,2294,MAGICC 5.3,0,0.017,0.0002,0.00038
CH4 emissions impulse,2295,MAGICC 5.3,0,0.017,0.0002,0.00039
CH4 emissions impulse,2296,MAGICC 5.3,0,0.016,0.00019,0.00038
CH4 emissions impulse,2297,MAGICC 5.3,0,0.017,0.0002,0.00038
CH4 emissions impulse,2298,MAGICC 5.3,0,0.017,0.00019,0.00038
CH4 emissions impulse,2299,MAGICC 5.3,0,0.016,0.00019,0.00038
CH4 emissions impulse,2300,MAGICC 5.3,0,0.016,0.00018,0.00038
CH4 emissions impulse,2301,MAGICC 5.3,0,0.016,0.00018,0.00038
CH4 emissions impulse,2302,MAGICC 5.3,0,0.016,0.00019,0.00038
CH4 emissions impulse,2303,MAGICC 5.3,0,0.016,0.00018,0.00037
CH4 emissions impulse,2304,MAGICC 5.3,0,0.016,0.00018,0.00038
CH4 emissions impulse,2305,MAGICC 5.3,0,0.015,0.00018,0.00036
CH4 emissions impulse,2010,MAGICC 6.0,0,0,0,0
CH4 emissions impulse,2011,MAGICC 6.0,0,0,0,0
CH4 emissions impulse,2012,MAGICC 6.0,0,0,0,0
CH4 emissions impulse,2013,MAGICC 6.0,0,0,0,0
CH4 emissions impulse,2014,MAGICC 6.0,0,0,0,0
CH4 emissions impulse,2015,MAGICC 6.0,0,0,0,0
CH4 emissions impulse,2016,MAGICC 6.0,55.8156,0.00084,0.0289504,0.00788624
CH4 emissions impulse,2017,MAGICC 6.0,107.0556,-0.00047,0.0555649,0.0125826
CH4 emissions impulse,2018,MAGICC 6.0,98.2664,-0.00173,0.0511084,0.014481
CH4 emissions impulse,2019,MAGICC 6.0,90.1805,0.00417,0.0470882,0.0153931
CH4 emissions impulse,2020,MAGICC 6.0,82.7472,0.01636,0.0434309,0.0157782
CH4 emissions impulse,2021,MAGICC 6.0,75.9127,0.03175,0.0401025,0.0158487
CH4 emissions impulse,2022,MAGICC 6.0,69.6321,0.0486,0.0371048,0.0157159
CH4 emissions impulse,2023,MAGICC 6.0,63.863,0.06593,0.0343744,0.0154468
CH4 emissions impulse,2024,MAGICC 6.0,58.5649,0.08313,0.031877,0.0150859
CH4 emissions impulse,2025,MAGICC 6.0,53.6998,0.09977,0.029587,0.0146645
CH4 emissions impulse,2026,MAGICC 6.0,49.233,0.11561,0.0274837,0.0142046
CH4 emissions impulse,2027,MAGICC 6.0,45.1325,0.13049,0.0255497,0.0137219
CH4 emissions impulse,2028,MAGICC 6.0,41.3687,0.14434,0.0237693,0.0132281
CH4 emissions impulse,2029,MAGICC 6.0,37.9141,0.15711,0.0221291,0.0127315
CH4 emissions impulse,2030,MAGICC 6.0,34.7438,0.16882,0.0206169,0.0122384
CH4 emissions impulse,2031,MAGICC 6.0,31.8347,0.17947,0.019222,0.0117531
CH4 emissions impulse,2032,MAGICC 6.0,29.1652,0.18912,0.0179351,0.0112793
CH4 emissions impulse,2033,MAGICC 6.0,26.7158,0.19782,0.0167476,0.010819
CH4 emissions impulse,2034,MAGICC 6.0,24.4684,0.20562,0.0156513,0.0103739
CH4 emissions impulse,2035,MAGICC 6.0,22.4066,0.21256,0.0146385,0.0099449
CH4 emissions impulse,2036,MAGICC 6.0,20.5152,0.21873,0.0137025,0.0095329
CH4 emissions impulse,2037,MAGICC 6.0,18.7803,0.22416,0.012837,0.0091378
CH4 emissions impulse,2038,MAGICC 6.0,17.1891,0.22892,0.0120363,0.0087596
CH4 emissions impulse,2039,MAGICC 6.0,15.7298,0.23305,0.0112953,0.0083985
CH4 emissions impulse,2040,MAGICC 6.0,14.3917,0.23661,0.0106092,0.0080541
CH4 emissions impulse,2041,MAGICC 6.0,13.1648,0.23965,0.0099738,0.0077258
CH4 emissions impulse,2042,MAGICC 6.0,12.04,0.24219,0.0093851,0.0074133
CH4 emissions impulse,2043,MAGICC 6.0,11.0087,0.2443,0.00884,0.0071161
CH4 emissions impulse,2044,MAGICC 6.0,10.0632,0.246,0.0083348,0.0068337
CH4 emissions impulse,2045,MAGICC 6.0,9.1966,0.24732,0.0078664,0.0065654
CH4 emissions impulse,2046,MAGICC 6.0,8.4024,0.24831,0.0074318,0.0063106
CH4 emissions impulse,2047,MAGICC 6.0,7.6745,0.24899,0.0070286,0.0060687
CH4 emissions impulse,2048,MAGICC 6.0,7.0077,0.24937,0.0066538,0.0058391
CH4 emissions impulse,2049,MAGICC 6.0,6.3967,0.24951,0.0063063,0.0056214
CH4 emissions impulse,2050,MAGICC 6.0,5.8371,0.24942,0.0059839,0.0054151
CH4 emissions impulse,2051,MAGICC 6.0,5.3245,0.24911,0.0056845,0.0052195
CH4 emissions impulse,2052,MAGICC 6.0,4.855,0.24861,0.0054066,0.0050342
CH4 emissions impulse,2053,MAGICC 6.0,4.4251,0.24794,0.0051487,0.0048586
CH4 emissions impulse,2054,MAGICC 6.0,4.0315,0.24711,0.0049092,0.0046923
CH4 emissions impulse,2055,MAGICC 6.0,3.6711,0.24613,0.0046866,0.0045346
CH4 emissions impulse,2056,MAGICC 6.0,3.3413,0.24503,0.0044799,0.0043853
CH4 emissions impulse,2057,MAGICC 6.0,3.0395,0.2438,0.0042875,0.0042438
CH4 emissions impulse,2058,MAGICC 6.0,2.7633,0.24248,0.0041084,0.0041097
CH4 emissions impulse,2059,MAGICC 6.0,2.5107,0.24105,0.0039416,0.0039825
CH4 emissions impulse,2060,MAGICC 6.0,2.2796,0.23954,0.0037863,0.003862
CH4 emissions impulse,2061,MAGICC 6.0,2.0683,0.23797,0.0036413,0.0037476
CH4 emissions impulse,2062,MAGICC 6.0,1.8751,0.23632,0.0035063,0.0036391
CH4 emissions impulse,2063,MAGICC 6.0,1.6985,0.23461,0.0033804,0.0035361
CH4 emissions impulse,2064,MAGICC 6.0,1.5371,0.23285,0.0032627,0.0034384
CH4 emissions impulse,2065,MAGICC 6.0,1.3896,0.23105,0.003153,0.0033456
CH4 emissions impulse,2066,MAGICC 6.0,1.2549,0.2292,0.0030504,0.0032575
CH4 emissions impulse,2067,MAGICC 6.0,1.1318,0.22732,0.0029544,0.0031738
CH4 emissions impulse,2068,MAGICC 6.0,1.0196,0.22541,0.0028646,0.0030943
CH4 emissions impulse,2069,MAGICC 6.0,0.917,0.22347,0.0027804,0.0030186
CH4 emissions impulse,2070,MAGICC 6.0,0.8236,0.22152,0.0027015,0.0029466
CH4 emissions impulse,2071,MAGICC 6.0,0.7383,0.21954,0.0026275,0.002878
CH4 emissions impulse,2072,MAGICC 6.0,0.6606,0.21755,0.0025581,0.0028126
CH4 emissions impulse,2073,MAGICC 6.0,0.5897,0.21555,0.0024929,0.0027504
CH4 emissions impulse,2074,MAGICC 6.0,0.5252,0.21354,0.0024318,0.0026911
CH4 emissions impulse,2075,MAGICC 6.0,0.4664,0.21154,0.0023742,0.0026345
CH4 emissions impulse,2076,MAGICC 6.0,0.4129,0.20952,0.0023202,0.0025806
CH4 emissions impulse,2077,MAGICC 6.0,0.3643,0.20751,0.0022693,0.0025292
CH4 emissions impulse,2078,MAGICC 6.0,0.32,0.20548,0.0022213,0.0024801
CH4 emissions impulse,2079,MAGICC 6.0,0.2755,0.20347,0.0021737,0.0024324
CH4 emissions impulse,2080,MAGICC 6.0,0.2315,0.20147,0.0021267,0.0023867
CH4 emissions impulse,2081,MAGICC 6.0,0.1927,0.19947,0.0020831,0.0023428
CH4 emissions impulse,2082,MAGICC 6.0,0.1588,0.19747,0.0020425,0.0023008
CH4 emissions impulse,2083,MAGICC 6.0,0.129,0.19548,0.0020041,0.0022606
CH4 emissions impulse,2084,MAGICC 6.0,0.1028,0.1935,0.001968,0.0022221
CH4 emissions impulse,2085,MAGICC 6.0,0.0799,0.19155,0.0019338,0.0021852
CH4 emissions impulse,2086,MAGICC 6.0,0.0599,0.1896,0.0019012,0.0021498
CH4 emissions impulse,2087,MAGICC 6.0,0.0423,0.18768,0.0018703,0.0021159
CH4 emissions impulse,2088,MAGICC 6.0,0.027,0.18578,0.001841,0.0020832
CH4 emissions impulse,2089,MAGICC 6.0,0.0136,0.18389,0.0018129,0.0020518
CH4 emissions impulse,2090,MAGICC 6.0,0.002,0.18202,0.0017859,0.0020214
CH4 emissions impulse,2091,MAGICC 6.0,-0.0082,0.18019,0.0017601,0.0019923
CH4 emissions impulse,2092,MAGICC 6.0,-0.0169,0.17836,0.0017354,0.0019642
CH4 emissions impulse,2093,MAGICC 6.0,-0.0245,0.17656,0.0017116,0.001937
CH4 emissions impulse,2094,MAGICC 6.0,-0.0311,0.17479,0.0016886,0.0019107
CH4 emissions impulse,2095,MAGICC 6.0,-0.0367,0.17305,0.0016664,0.0018852
CH4 emissions impulse,2096,MAGICC 6.0,-0.0417,0.17132,0.0016449,0.0018606
CH4 emissions impulse,2097,MAGICC 6.0,-0.0457,0.16962,0.0016241,0.0018368
CH4 emissions impulse,2098,MAGICC 6.0,-0.0493,0.16795,0.001604,0.0018136
CH4 emissions impulse,2099,MAGICC 6.0,-0.0524,0.1663,0.0015844,0.0017911
CH4 emissions impulse,2100,MAGICC 6.0,-0.0548,0.16468,0.0015654,0.0017693
CH4 emissions impulse,2101,MAGICC 6.0,-0.057,0.16307,0.0015468,0.0017481
CH4 emissions impulse,2102,MAGICC 6.0,-0.0588,0.1615,0.001529,0.0017275
CH4 emissions impulse,2103,MAGICC 6.0,-0.0601,0.15995,0.0015115,0.0017075
CH4 emissions impulse,2104,MAGICC 6.0,-0.0613,0.15842,0.0014947,0.001688
CH4 emissions impulse,2105,MAGICC 6.0,-0.0622,0.15691,0.0014784,0.0016691
CH4 emissions impulse,2106,MAGICC 6.0,-0.0629,0.15542,0.0014626,0.0016506
CH4 emissions impulse,2107,MAGICC 6.0,-0.0634,0.15396,0.0014472,0.0016328
CH4 emissions impulse,2108,MAGICC 6.0,-0.0639,0.15251,0.0014323,0.0016153
CH4 emissions impulse,2109,MAGICC 6.0,-0.0641,0.15109,0.0014178,0.0015983
CH4 emissions impulse,2110,MAGICC 6.0,-0.0642,0.14969,0.0014036,0.0015817
CH4 emissions impulse,2111,MAGICC 6.0,-0.0642,0.1483,0.0013897,0.0015655
CH4 emissions impulse,2112,MAGICC 6.0,-0.0641,0.14694,0.0013762,0.0015498
CH4 emissions impulse,2113,MAGICC 6.0,-0.064,0.14558,0.0013631,0.0015344
CH4 emissions impulse,2114,MAGICC 6.0,-0.0639,0.14426,0.0013501,0.0015194
CH4 emissions impulse,2115,MAGICC 6.0,-0.0637,0.14295,0.0013375,0.0015047
CH4 emissions impulse,2116,MAGICC 6.0,-0.0633,0.14165,0.0013251,0.0014903
CH4 emissions impulse,2117,MAGICC 6.0,-0.063,0.14038,0.001313,0.0014763
CH4 emissions impulse,2118,MAGICC 6.0,-0.0626,0.13912,0.0013011,0.0014626
CH4 emissions impulse,2119,MAGICC 6.0,-0.0623,0.13788,0.0012895,0.0014491
CH4 emissions impulse,2120,MAGICC 6.0,-0.0619,0.13666,0.0012781,0.001436
CH4 emissions impulse,2121,MAGICC 6.0,-0.0614,0.13545,0.0012669,0.0014231
CH4 emissions impulse,2122,MAGICC 6.0,-0.061,0.13426,0.0012558,0.0014105
CH4 emissions impulse,2123,MAGICC 6.0,-0.0606,0.13308,0.001245,0.0013981
CH4 emissions impulse,2124,MAGICC 6.0,-0.0601,0.13192,0.0012342,0.001386
CH4 emissions impulse,2125,MAGICC 6.0,-0.0597,0.13078,0.0012237,0.0013741
CH4 emissions impulse,2126,MAGICC 6.0,-0.0592,0.12965,0.0012133,0.0013624
CH4 emissions impulse,2127,MAGICC 6.0,-0.0588,0.12853,0.0012031,0.0013509
CH4 emissions impulse,2128,MAGICC 6.0,-0.0583,0.12743,0.001193,0.0013397
CH4 emissions impulse,2129,MAGICC 6.0,-0.0578,0.12635,0.0011831,0.0013286
CH4 emissions impulse,2130,MAGICC 6.0,-0.0574,0.12528,0.0011733,0.0013177
CH4 emissions impulse,2131,MAGICC 6.0,-0.0569,0.12423,0.0011636,0.001307
CH4 emissions impulse,2132,MAGICC 6.0,-0.0564,0.12319,0.0011541,0.0012965
CH4 emissions impulse,2133,MAGICC 6.0,-0.056,0.12216,0.0011447,0.0012861
CH4 emissions impulse,2134,MAGICC 6.0,-0.0555,0.12114,0.0011354,0.001276
CH4 emissions impulse,2135,MAGICC 6.0,-0.055,0.12015,0.0011263,0.001266
CH4 emissions impulse,2136,MAGICC 6.0,-0.0546,0.11916,0.0011173,0.0012561
CH4 emissions impulse,2137,MAGICC 6.0,-0.0542,0.11819,0.0011084,0.0012464
CH4 emissions impulse,2138,MAGICC 6.0,-0.0537,0.11722,0.0010996,0.0012368
CH4 emissions impulse,2139,MAGICC 6.0,-0.0533,0.11628,0.001091,0.0012275
CH4 emissions impulse,2140,MAGICC 6.0,-0.0529,0.11535,0.0010825,0.0012182
CH4 emissions impulse,2141,MAGICC 6.0,-0.0525,0.11441,0.0010741,0.0012091
CH4 emissions impulse,2142,MAGICC 6.0,-0.0521,0.1135,0.0010657,0.0012002
CH4 emissions impulse,2143,MAGICC 6.0,-0.0517,0.11261,0.0010575,0.0011913
CH4 emissions impulse,2144,MAGICC 6.0,-0.0512,0.11171,0.0010495,0.0011826
CH4 emissions impulse,2145,MAGICC 6.0,-0.0509,0.11084,0.0010414,0.001174
CH4 emissions impulse,2146,MAGICC 6.0,-0.0504,0.10997,0.0010336,0.0011656
CH4 emissions impulse,2147,MAGICC 6.0,-0.0501,0.10912,0.0010259,0.0011572
CH4 emissions impulse,2148,MAGICC 6.0,-0.0497,0.10827,0.0010182,0.001149
CH4 emissions impulse,2149,MAGICC 6.0,-0.0493,0.10743,0.0010106,0.0011409
CH4 emissions impulse,2150,MAGICC 6.0,-0.049,0.10661,0.0010031,0.0011329
CH4 emissions impulse,2151,MAGICC 6.0,-0.0486,0.1058,0.0009956,0.0011251
CH4 emissions impulse,2152,MAGICC 6.0,-0.0482,0.10499,0.0009883,0.0011172
CH4 emissions impulse,2153,MAGICC 6.0,-0.0479,0.10419,0.000981,0.0011096
CH4 emissions impulse,2154,MAGICC 6.0,-0.0475,0.10342,0.0009738,0.001102
CH4 emissions impulse,2155,MAGICC 6.0,-0.0471,0.10264,0.0009667,0.0010945
CH4 emissions impulse,2156,MAGICC 6.0,-0.0469,0.10187,0.0009597,0.0010871
CH4 emissions impulse,2157,MAGICC 6.0,-0.0465,0.10112,0.0009526,0.0010797
CH4 emissions impulse,2158,MAGICC 6.0,-0.0462,0.10037,0.0009459,0.0010726
CH4 emissions impulse,2159,MAGICC 6.0,-0.0459,0.09963,0.0009391,0.0010655
CH4 emissions impulse,2160,MAGICC 6.0,-0.0456,0.0989,0.0009323,0.0010585
CH4 emissions impulse,2161,MAGICC 6.0,-0.0452,0.09819,0.0009257,0.0010515
CH4 emissions impulse,2162,MAGICC 6.0,-0.0449,0.09747,0.0009191,0.0010446
CH4 emissions impulse,2163,MAGICC 6.0,-0.0446,0.09677,0.0009126,0.0010378
CH4 emissions impulse,2164,MAGICC 6.0,-0.0443,0.09608,0.0009062,0.0010311
CH4 emissions impulse,2165,MAGICC 6.0,-0.044,0.09539,0.0008999,0.0010245
CH4 emissions impulse,2166,MAGICC 6.0,-0.0436,0.09472,0.0008936,0.001018
CH4 emissions impulse,2167,MAGICC 6.0,-0.0434,0.09404,0.0008874,0.0010116
CH4 emissions impulse,2168,MAGICC 6.0,-0.0431,0.09338,0.0008813,0.0010052
CH4 emissions impulse,2169,MAGICC 6.0,-0.0428,0.09273,0.0008753,0.0009989
CH4 emissions impulse,2170,MAGICC 6.0,-0.0426,0.09207,0.0008693,0.0009927
CH4 emissions impulse,2171,MAGICC 6.0,-0.0423,0.09143,0.0008634,0.0009865
CH4 emissions impulse,2172,MAGICC 6.0,-0.042,0.0908,0.0008575,0.0009804
CH4 emissions impulse,2173,MAGICC 6.0,-0.0417,0.09018,0.0008517,0.0009745
CH4 emissions impulse,2174,MAGICC 6.0,-0.0414,0.08955,0.0008461,0.0009685
CH4 emissions impulse,2175,MAGICC 6.0,-0.0411,0.08895,0.0008404,0.0009626
CH4 emissions impulse,2176,MAGICC 6.0,-0.0409,0.08834,0.0008348,0.0009568
CH4 emissions impulse,2177,MAGICC 6.0,-0.0407,0.08774,0.0008293,0.000951
CH4 emissions impulse,2178,MAGICC 6.0,-0.0404,0.08714,0.0008238,0.0009454
CH4 emissions impulse,2179,MAGICC 6.0,-0.0401,0.08656,0.0008184,0.0009398
CH4 emissions impulse,2180,MAGICC 6.0,-0.0398,0.08598,0.0008131,0.0009342
CH4 emissions impulse,2181,MAGICC 6.0,-0.0397,0.08541,0.0008078,0.0009287
CH4 emissions impulse,2182,MAGICC 6.0,-0.0393,0.08484,0.0008026,0.0009233
CH4 emissions impulse,2183,MAGICC 6.0,-0.0392,0.08429,0.0007974,0.0009179
CH4 emissions impulse,2184,MAGICC 6.0,-0.0389,0.08372,0.0007922,0.0009126
CH4 emissions impulse,2185,MAGICC 6.0,-0.0387,0.08317,0.0007872,0.0009074
CH4 emissions impulse,2186,MAGICC 6.0,-0.0384,0.08263,0.0007822,0.0009022
CH4 emissions impulse,2187,MAGICC 6.0,-0.0383,0.08209,0.0007772,0.000897
CH4 emissions impulse,2188,MAGICC 6.0,-0.038,0.08156,0.0007722,0.0008919
CH4 emissions impulse,2189,MAGICC 6.0,-0.0378,0.08104,0.0007674,0.0008868
CH4 emissions impulse,2190,MAGICC 6.0,-0.0376,0.08052,0.0007626,0.0008819
CH4 emissions impulse,2191,MAGICC 6.0,-0.0374,0.08,0.0007579,0.0008769
CH4 emissions impulse,2192,MAGICC 6.0,-0.0371,0.07948,0.0007532,0.0008721
CH4 emissions impulse,2193,MAGICC 6.0,-0.0369,0.07898,0.0007485,0.0008673
CH4 emissions impulse,2194,MAGICC 6.0,-0.0367,0.07848,0.0007439,0.0008625
CH4 emissions impulse,2195,MAGICC 6.0,-0.0365,0.07799,0.0007392,0.0008577
CH4 emissions impulse,2196,MAGICC 6.0,-0.0363,0.0775,0.0007347,0.000853
CH4 emissions impulse,2197,MAGICC 6.0,-0.036,0.07702,0.0007303,0.0008484
CH4 emissions impulse,2198,MAGICC 6.0,-0.0358,0.07654,0.0007258,0.0008438
CH4 emissions impulse,2199,MAGICC 6.0,-0.0356,0.07606,0.0007214,0.0008392
CH4 emissions impulse,2200,MAGICC 6.0,-0.0354,0.07558,0.0007171,0.0008348
CH4 emissions impulse,2201,MAGICC 6.0,-0.0352,0.07512,0.0007128,0.0008303
CH4 emissions impulse,2202,MAGICC 6.0,-0.035,0.07467,0.0007086,0.0008259
CH4 emissions impulse,2203,MAGICC 6.0,-0.0348,0.0742,0.0007043,0.0008215
CH4 emissions impulse,2204,MAGICC 6.0,-0.0346,0.07375,0.0007001,0.0008171
CH4 emissions impulse,2205,MAGICC 6.0,-0.0345,0.0733,0.000696,0.0008129
CH4 emissions impulse,2206,MAGICC 6.0,-0.0342,0.07286,0.0006919,0.0008087
CH4 emissions impulse,2207,MAGICC 6.0,-0.0341,0.07242,0.0006879,0.0008044
CH4 emissions impulse,2208,MAGICC 6.0,-0.0339,0.07199,0.0006838,0.0008003
CH4 emissions impulse,2209,MAGICC 6.0,-0.0337,0.07156,0.0006798,0.0007962
CH4 emissions impulse,2210,MAGICC 6.0,-0.0335,0.07113,0.0006759,0.0007921
CH4 emissions impulse,2211,MAGICC 6.0,-0.0333,0.07071,0.000672,0.000788
CH4 emissions impulse,2212,MAGICC 6.0,-0.0332,0.07029,0.0006681,0.000784
CH4 emissions impulse,2213,MAGICC 6.0,-0.033,0.06988,0.0006643,0.00078
CH4 emissions impulse,2214,MAGICC 6.0,-0.0328,0.06947,0.0006605,0.0007761
CH4 emissions impulse,2215,MAGICC 6.0,-0.0326,0.06906,0.0006567,0.0007722
CH4 emissions impulse,2216,MAGICC 6.0,-0.0325,0.06866,0.000653,0.0007683
CH4 emissions impulse,2217,MAGICC 6.0,-0.0323,0.06826,0.0006493,0.0007645
CH4 emissions impulse,2218,MAGICC 6.0,-0.0322,0.06787,0.0006456,0.0007606
CH4 emissions impulse,2219,MAGICC 6.0,-0.032,0.06747,0.000642,0.0007569
CH4 emissions impulse,2220,MAGICC 6.0,-0.0318,0.06708,0.0006384,0.0007531
CH4 emissions impulse,2221,MAGICC 6.0,-0.0317,0.0667,0.0006348,0.0007495
CH4 emissions impulse,2222,MAGICC 6.0,-0.0315,0.06632,0.0006314,0.0007458
CH4 emissions impulse,2223,MAGICC 6.0,-0.0314,0.06595,0.0006279,0.0007422
CH4 emissions impulse,2224,MAGICC 6.0,-0.0312,0.06557,0.0006244,0.0007386
CH4 emissions impulse,2225,MAGICC 6.0,-0.031,0.0652,0.0006209,0.0007351
CH4 emissions impulse,2226,MAGICC 6.0,-0.0308,0.06483,0.0006176,0.0007315
CH4 emissions impulse,2227,MAGICC 6.0,-0.0307,0.06447,0.0006142,0.000728
CH4 emissions impulse,2228,MAGICC 6.0,-0.0305,0.06412,0.0006109,0.0007245
CH4 emissions impulse,2229,MAGICC 6.0,-0.0304,0.06376,0.0006076,0.000721
CH4 emissions impulse,2230,MAGICC 6.0,-0.0303,0.06341,0.0006042,0.0007177
CH4 emissions impulse,2231,MAGICC 6.0,-0.0302,0.06306,0.0006011,0.0007143
CH4 emissions impulse,2232,MAGICC 6.0,-0.03,0.06271,0.0005978,0.0007109
CH4 emissions impulse,2233,MAGICC 6.0,-0.0299,0.06236,0.0005947,0.0007076
CH4 emissions impulse,2234,MAGICC 6.0,-0.0297,0.06202,0.0005915,0.0007043
CH4 emissions impulse,2235,MAGICC 6.0,-0.0295,0.06168,0.0005883,0.0007011
CH4 emissions impulse,2236,MAGICC 6.0,-0.0294,0.06136,0.0005852,0.0006978
CH4 emissions impulse,2237,MAGICC 6.0,-0.0293,0.06102,0.0005821,0.0006946
CH4 emissions impulse,2238,MAGICC 6.0,-0.0291,0.06069,0.0005791,0.0006914
CH4 emissions impulse,2239,MAGICC 6.0,-0.029,0.06037,0.0005761,0.0006882
CH4 emissions impulse,2240,MAGICC 6.0,-0.0289,0.06005,0.0005731,0.0006851
CH4 emissions impulse,2241,MAGICC 6.0,-0.0288,0.05973,0.0005701,0.000682
CH4 emissions impulse,2242,MAGICC 6.0,-0.0286,0.05941,0.0005671,0.000679
CH4 emissions impulse,2243,MAGICC 6.0,-0.0284,0.0591,0.0005643,0.0006758
CH4 emissions impulse,2244,MAGICC 6.0,-0.0283,0.05879,0.0005614,0.0006728
CH4 emissions impulse,2245,MAGICC 6.0,-0.0281,0.05847,0.0005585,0.0006698
CH4 emissions impulse,2246,MAGICC 6.0,-0.0281,0.05817,0.0005556,0.0006668
CH4 emissions impulse,2247,MAGICC 6.0,-0.0279,0.05787,0.0005528,0.0006638
CH4 emissions impulse,2248,MAGICC 6.0,-0.0278,0.05757,0.0005501,0.000661
CH4 emissions impulse,2249,MAGICC 6.0,-0.0276,0.05727,0.0005472,0.0006581
