Experiment ,Time,Model,CH4 concentration response ,CO2 concentration response,Total forcing response,Temperature response
CH4 emissions impulse,2250,MAGICC 6.0,-0.0276,0.05712,0.0005459,0.0006556
CH4 emissions impulse,2251,MAGICC 6.0,-0.0276,0.05712,0.0005459,0.0006534
CH4 emissions impulse,2252,MAGICC 6.0,-0.0276,0.05712,0.0005459,0.0006513
CH4 emissions impulse,2253,MAGICC 6.0,-0.0276,0.05712,0.0005459,0.0006494
CH4 emissions impulse,2254,MAGICC 6.0,-0.0276,0.05712,0.0005459,0.0006476
CH4 emissions impulse,2255,MAGICC 6.0,-0.0276,0.05712,0.0005459,0.0006458
CH4 emissions impulse,2256,MAGICC 6.0,-0.0276,0.05712,0.0005459,0.0006441
CH4 emissions impulse,2257,MAGICC 6.0,-0.0276,0.05712,0.0005459,0.0006425
CH4 emissions impulse,2258,MAGICC 6.0,-0.0276,0.05712,0.0005459,0.0006409
CH4 emissions impulse,2259,MAGICC 6.0,-0.0276,0.05712,0.0005459,0.0006393
CH4 emissions impulse,2260,MAGICC 6.0,-0.0276,0.05712,0.0005459,0.0006378
CH4 emissions impulse,2261,MAGICC 6.0,-0.0276,0.05712,0.0005459,0.0006363
CH4 emissions impulse,2262,MAGICC 6.0,-0.0276,0.05712,0.0005459,0.0006349
CH4 emissions impulse,2263,MAGICC 6.0,-0.0276,0.05712,0.0005459,0.0006334
CH4 emissions impulse,2264,MAGICC 6.0,-0.0276,0.05712,0.0005459,0.0006321
CH4 emissions impulse,2265,MAGICC 6.0,-0.0276,0.05712,0.0005459,0.0006306
CH4 emissions impulse,2266,MAGICC 6.0,-0.0276,0.05712,0.0005459,0.0006293
CH4 emissions impulse,2267,MAGICC 6.0,-0.0276,0.05712,0.0005459,0.000628
CH4 emissions impulse,2268,MAGICC 6.0,-0.0276,0.05712,0.0005459,0.0006267
CH4 emissions impulse,2269,MAGICC 6.0,-0.0276,0.05712,0.0005459,0.0006254
CH4 emissions impulse,2270,MAGICC 6.0,-0.0276,0.05712,0.0005459,0.0006242
CH4 emissions impulse,2271,MAGICC 6.0,-0.0276,0.05712,0.0005459,0.000623
CH4 emissions impulse,2272,MAGICC 6.0,-0.0276,0.05712,0.0005459,0.0006217
CH4 emissions impulse,2273,MAGICC 6.0,-0.0276,0.05712,0.0005459,0.0006206
CH4 emissions impulse,2274,MAGICC 6.0,-0.0276,0.05712,0.0005459,0.0006194
CH4 emissions impulse,2275,MAGICC 6.0,-0.0276,0.05712,0.0005459,0.0006182
CH4 emissions impulse,2276,MAGICC 6.0,-0.0276,0.05712,0.0005459,0.0006171
CH4 emissions impulse,2277,MAGICC 6.0,-0.0276,0.05712,0.0005459,0.0006159
CH4 emissions impulse,2278,MAGICC 6.0,-0.0276,0.05712,0.0005459,0.0006149
CH4 emissions impulse,2279,MAGICC 6.0,-0.0276,0.05712,0.0005459,0.0006137
CH4 emissions impulse,2280,MAGICC 6.0,-0.0276,0.05712,0.0005459,0.0006126
CH4 emissions impulse,2281,MAGICC 6.0,-0.0276,0.05712,0.0005459,0.0006116
CH4 emissions impulse,2282,MAGICC 6.0,-0.0276,0.05712,0.0005459,0.0006105
CH4 emissions impulse,2283,MAGICC 6.0,-0.0276,0.05712,0.0005459,0.0006094
CH4 emissions impulse,2284,MAGICC 6.0,-0.0276,0.05712,0.0005459,0.0006085
CH4 emissions impulse,2285,MAGICC 6.0,-0.0276,0.05712,0.0005459,0.0006075
CH4 emissions impulse,2286,MAGICC 6.0,-0.0276,0.05712,0.0005459,0.0006064
CH4 emissions impulse,2287,MAGICC 6.0,-0.0276,0.05712,0.0005459,0.0006054
CH4 emissions impulse,2288,MAGICC 6.0,-0.0276,0.05712,0.0005459,0.0006045
CH4 emissions impulse,2289,MAGICC 6.0,-0.0276,0.05712,0.0005459,0.0006034
CH4 emissions impulse,2290,MAGICC 6.0,-0.0276,0.05712,0.0005459,0.0006026
CH4 emissions impulse,2291,MAGICC 6.0,-0.0276,0.05712,0.0005459,0.0006016
CH4 emissions impulse,2292,MAGICC 6.0,-0.0276,0.05712,0.0005459,0.0006006
CH4 emissions impulse,2293,MAGICC 6.0,-0.0276,0.05712,0.0005459,0.0005997
CH4 emissions impulse,2294,MAGICC 6.0,-0.0276,0.05712,0.0005459,0.0005988
CH4 emissions impulse,2295,MAGICC 6.0,-0.0276,0.05712,0.0005459,0.0005979
CH4 emissions impulse,2296,MAGICC 6.0,-0.0276,0.05712,0.0005459,0.000597
CH4 emissions impulse,2297,MAGICC 6.0,-0.0276,0.05712,0.0005459,0.0005961
CH4 emissions impulse,2298,MAGICC 6.0,-0.0276,0.05712,0.0005459,0.0005952
CH4 emissions impulse,2299,MAGICC 6.0,-0.0276,0.05712,0.0005459,0.0005944
CH4 emissions impulse,2300,MAGICC 6.0,-0.0276,0.05712,0.0005459,0.0005935
CH4 emissions impulse,2014,AR5-IR,0,NA,0.00E+00,0
,2015,AR5-IR,9.06E-17,NA,2.72E-16,2.59E-17
,2016,AR5-IR,0.025060844,NA,6.93E-02,0.00527926
,2017,AR5-IR,0.022285999,NA,6.39E-02,0.009564945
,2018,AR5-IR,0.019822495,NA,5.90E-02,0.012999624
,2019,AR5-IR,0.01763539,NA,5.44E-02,0.015707456
,2020,AR5-IR,0.015693661,NA,5.02E-02,0.017796449
,2021,AR5-IR,0.013969769,NA,4.63E-02,0.019360436
,2022,AR5-IR,0.012439266,NA,4.27E-02,0.020480836
,2023,AR5-IR,0.011080447,NA,3.94E-02,0.021228182
,2024,AR5-IR,0.009874043,NA,3.64E-02,0.021663487
,2025,AR5-IR,0.008802949,NA,3.35E-02,0.02183943
,2026,AR5-IR,0.007851977,NA,3.09E-02,0.021801412
,2027,AR5-IR,0.007007648,NA,2.85E-02,0.021588475
,2028,AR5-IR,0.006257991,NA,2.63E-02,0.021234115
,2029,AR5-IR,0.005592381,NA,2.43E-02,0.020766995
,2030,AR5-IR,0.005001387,NA,2.24E-02,0.020211569
,2031,AR5-IR,0.004476633,NA,2.07E-02,0.019588633
,2032,AR5-IR,0.004010685,NA,1.91E-02,0.018915807
,2033,AR5-IR,0.003596943,NA,1.76E-02,0.018207952
,2034,AR5-IR,0.003229549,NA,1.62E-02,0.017477548
,2035,AR5-IR,0.002903301,NA,1.50E-02,0.016735007
,2036,AR5-IR,0.00261358,NA,1.38E-02,0.015988966
,2037,AR5-IR,0.002356288,NA,1.27E-02,0.015246527
,2038,AR5-IR,0.002127786,NA,1.18E-02,0.014513475
,2039,AR5-IR,0.001924841,NA,1.08E-02,0.013794468
,2040,AR5-IR,0.001744586,NA,1.00E-02,0.013093197
,2041,AR5-IR,0.001584475,NA,9.23E-03,0.01241253
,2042,AR5-IR,0.001442247,NA,8.52E-03,0.01175464
,2043,AR5-IR,0.001315895,NA,7.86E-03,0.011121105
,2044,AR5-IR,0.001203637,NA,7.25E-03,0.010513009
,2045,AR5-IR,0.001103892,NA,6.69E-03,0.009931014
,2046,AR5-IR,0.001015256,NA,6.17E-03,0.00937544
,2047,AR5-IR,0.000936481,NA,5.69E-03,0.008846317
,2048,AR5-IR,0.000866463,NA,5.25E-03,0.00834344
,2049,AR5-IR,0.000804217,NA,4.84E-03,0.007866413
,2050,AR5-IR,0.000748871,NA,4.47E-03,0.007414687
,2051,AR5-IR,0.000699653,NA,4.12E-03,0.006987591
,2052,AR5-IR,0.000655873,NA,3.80E-03,0.006584364
,2053,AR5-IR,0.000616922,NA,3.51E-03,0.006204174
,2054,AR5-IR,0.000582259,NA,3.24E-03,0.005846138
,2055,AR5-IR,0.000551401,NA,2.98E-03,0.005509342
,2056,AR5-IR,0.000523923,NA,2.75E-03,0.005192852
,2057,AR5-IR,0.000499444,NA,2.54E-03,0.004895726
,2058,AR5-IR,0.00047763,NA,2.34E-03,0.004617027
,2059,AR5-IR,0.00045818,NA,2.16E-03,0.004355823
,2060,AR5-IR,0.00044083,NA,1.99E-03,0.004111202
,2061,AR5-IR,0.000425344,NA,1.84E-03,0.003882272
,2062,AR5-IR,0.000411513,NA,1.70E-03,0.003668166
,2063,AR5-IR,0.000399151,NA,1.57E-03,0.003468044
,2064,AR5-IR,0.000388095,NA,1.44E-03,0.003281099
,2065,AR5-IR,0.000378197,NA,1.33E-03,0.003106553
,2066,AR5-IR,0.000369328,NA,1.23E-03,0.002943662
,2067,AR5-IR,0.000361373,NA,1.13E-03,0.002791716
,2068,AR5-IR,0.000354228,NA,1.05E-03,0.002650037
,2069,AR5-IR,0.000347804,NA,9.65E-04,0.002517983
,2070,AR5-IR,0.00034202,NA,8.90E-04,0.002394941
,2071,AR5-IR,0.000336804,NA,8.21E-04,0.002280334
,2072,AR5-IR,0.000332092,NA,7.58E-04,0.002173614
,2073,AR5-IR,0.000327829,NA,6.99E-04,0.002074264
,2074,AR5-IR,0.000323963,NA,6.45E-04,0.001981797
,2075,AR5-IR,0.000320451,NA,5.95E-04,0.001895755
,2076,AR5-IR,0.000317253,NA,5.49E-04,0.001815706
,2077,AR5-IR,0.000314334,NA,5.06E-04,0.001741243
,2078,AR5-IR,0.000311663,NA,4.67E-04,0.001671988
,2079,AR5-IR,0.000309212,NA,4.31E-04,0.001607582
,2080,AR5-IR,0.000306957,NA,3.97E-04,0.001547691
,2081,AR5-IR,0.000304876,NA,3.67E-04,0.001492002
,2082,AR5-IR,0.00030295,NA,3.38E-04,0.001440222
,2083,AR5-IR,0.000301161,NA,3.12E-04,0.001392076
,2084,AR5-IR,0.000299494,NA,2.88E-04,0.00134731
,2085,AR5-IR,0.000297936,NA,2.66E-04,0.001305685
,2086,AR5-IR,0.000296474,NA,2.45E-04,0.001266976
,2087,AR5-IR,0.000295099,NA,2.26E-04,0.001230977
,2088,AR5-IR,0.0002938,NA,2.08E-04,0.001197493
,2089,AR5-IR,0.000292569,NA,1.92E-04,0.001166344
,2090,AR5-IR,0.000291399,NA,1.77E-04,0.001137363
,2091,AR5-IR,0.000290283,NA,1.64E-04,0.001110391
,2092,AR5-IR,0.000289216,NA,1.51E-04,0.001085285
,2093,AR5-IR,0.000288191,NA,1.39E-04,0.001061908
,2094,AR5-IR,0.000287205,NA,1.29E-04,0.001040134
,2095,AR5-IR,0.000286252,NA,1.19E-04,0.001019847
,2096,AR5-IR,0.000285331,NA,1.09E-04,0.001000937
,2097,AR5-IR,0.000284437,NA,1.01E-04,0.000983304
,2098,AR5-IR,0.000283567,NA,9.31E-05,0.000966854
,2099,AR5-IR,0.000282719,NA,8.59E-05,0.0009515
,2100,AR5-IR,0.00028189,NA,7.92E-05,0.000937161
,2101,AR5-IR,0.00028108,NA,7.31E-05,0.000923763
,2102,AR5-IR,0.000280285,NA,6.74E-05,0.000911235
,2103,AR5-IR,0.000279504,NA,6.22E-05,0.000899513
,2104,AR5-IR,0.000278736,NA,5.74E-05,0.000888537
,2105,AR5-IR,0.00027798,NA,5.29E-05,0.000878253
,2106,AR5-IR,0.000277234,NA,4.88E-05,0.000868608
,2107,AR5-IR,0.000276497,NA,4.50E-05,0.000859555
,2108,AR5-IR,0.000275769,NA,4.16E-05,0.000851051
,2109,AR5-IR,0.000275049,NA,3.83E-05,0.000843054
,2110,AR5-IR,0.000274336,NA,3.54E-05,0.000835526
,2111,AR5-IR,0.00027363,NA,3.26E-05,0.000828432
,2112,AR5-IR,0.000272929,NA,3.01E-05,0.000821741
,2113,AR5-IR,0.000272234,NA,2.78E-05,0.000815421
,2114,AR5-IR,0.000271544,NA,2.56E-05,0.000809446
,2115,AR5-IR,0.000270858,NA,2.36E-05,0.000803789
,2116,AR5-IR,0.000270177,NA,2.18E-05,0.000798427
,2117,AR5-IR,0.000269499,NA,2.01E-05,0.000793338
,2118,AR5-IR,0.000268826,NA,1.86E-05,0.000788501
,2119,AR5-IR,0.000268156,NA,1.71E-05,0.000783898
,2120,AR5-IR,0.000267489,NA,1.58E-05,0.000779511
,2121,AR5-IR,0.000266825,NA,1.46E-05,0.000775324
,2122,AR5-IR,0.000266164,NA,1.34E-05,0.000771322
,2123,AR5-IR,0.000265506,NA,1.24E-05,0.000767492
,2124,AR5-IR,0.00026485,NA,1.14E-05,0.00076382
,2125,AR5-IR,0.000264197,NA,1.05E-05,0.000760295
,2126,AR5-IR,0.000263547,NA,9.73E-06,0.000756906
,2127,AR5-IR,0.000262898,NA,8.98E-06,0.000753643
,2128,AR5-IR,0.000262252,NA,8.28E-06,0.000750497
,2129,AR5-IR,0.000261608,NA,7.64E-06,0.000747459
,2130,AR5-IR,0.000260966,NA,7.05E-06,0.000744521
,2131,AR5-IR,0.000260326,NA,6.50E-06,0.000741676
,2132,AR5-IR,0.000259688,NA,6.00E-06,0.000738917
,2133,AR5-IR,0.000259052,NA,5.53E-06,0.000736238
,2134,AR5-IR,0.000258418,NA,5.11E-06,0.000733633
,2135,AR5-IR,0.000257785,NA,4.71E-06,0.000731096
,2136,AR5-IR,0.000257155,NA,4.34E-06,0.000728623
,2137,AR5-IR,0.000256526,NA,4.01E-06,0.000726209
,2138,AR5-IR,0.000255899,NA,3.70E-06,0.00072385
,2139,AR5-IR,0.000255273,NA,3.41E-06,0.000721542
,2140,AR5-IR,0.000254649,NA,3.15E-06,0.000719282
,2141,AR5-IR,0.000254027,NA,2.90E-06,0.000717065
,2142,AR5-IR,0.000253407,NA,2.68E-06,0.00071489
,2143,AR5-IR,0.000252788,NA,2.47E-06,0.000712753
,2144,AR5-IR,0.00025217,NA,2.28E-06,0.000710651
,2145,AR5-IR,0.000251555,NA,2.10E-06,0.000708582
,2146,AR5-IR,0.000250941,NA,1.94E-06,0.000706545
,2147,AR5-IR,0.000250328,NA,1.79E-06,0.000704536
,2148,AR5-IR,0.000249717,NA,1.65E-06,0.000702554
,2149,AR5-IR,0.000249108,NA,1.52E-06,0.000700597
,2150,AR5-IR,0.0002485,NA,1.40E-06,0.000698664
,2151,AR5-IR,0.000247893,NA,1.30E-06,0.000696753
,2152,AR5-IR,0.000247288,NA,1.20E-06,0.000694862
,2153,AR5-IR,0.000246685,NA,1.10E-06,0.000692991
,2154,AR5-IR,0.000246083,NA,1.02E-06,0.000691138
,2155,AR5-IR,0.000245483,NA,9.39E-07,0.000689302
,2156,AR5-IR,0.000244884,NA,8.66E-07,0.000687482
,2157,AR5-IR,0.000244286,NA,7.99E-07,0.000685678
,2158,AR5-IR,0.00024369,NA,7.37E-07,0.000683887
,2159,AR5-IR,0.000243096,NA,6.80E-07,0.00068211
,2160,AR5-IR,0.000242503,NA,6.27E-07,0.000680346
,2161,AR5-IR,0.000241911,NA,5.79E-07,0.000678594
,2162,AR5-IR,0.000241321,NA,5.34E-07,0.000676853
,2163,AR5-IR,0.000240732,NA,4.92E-07,0.000675124
,2164,AR5-IR,0.000240145,NA,4.54E-07,0.000673404
,2165,AR5-IR,0.000239559,NA,4.19E-07,0.000671695
,2166,AR5-IR,0.000238975,NA,3.87E-07,0.000669994
,2167,AR5-IR,0.000238392,NA,3.57E-07,0.000668303
,2168,AR5-IR,0.000237811,NA,3.29E-07,0.00066662
,2169,AR5-IR,0.000237231,NA,3.04E-07,0.000664945
,2170,AR5-IR,0.000236652,NA,2.80E-07,0.000663279
,2171,AR5-IR,0.000236075,NA,2.58E-07,0.00066162
,2172,AR5-IR,0.000235499,NA,2.38E-07,0.000659968
,2173,AR5-IR,0.000234925,NA,2.20E-07,0.000658323
,2174,AR5-IR,0.000234352,NA,2.03E-07,0.000656684
,2175,AR5-IR,0.00023378,NA,1.87E-07,0.000655053
,2176,AR5-IR,0.00023321,NA,1.73E-07,0.000653427
,2177,AR5-IR,0.000232641,NA,1.59E-07,0.000651808
,2178,AR5-IR,0.000232073,NA,1.47E-07,0.000650195
,2179,AR5-IR,0.000231507,NA,1.35E-07,0.000648587
,2180,AR5-IR,0.000230943,NA,1.25E-07,0.000646985
,2181,AR5-IR,0.000230379,NA,1.15E-07,0.000645388
,2182,AR5-IR,0.000229818,NA,1.06E-07,0.000643797
,2183,AR5-IR,0.000229257,NA,9.81E-08,0.000642211
,2184,AR5-IR,0.000228698,NA,9.05E-08,0.00064063
,2185,AR5-IR,0.00022814,NA,8.35E-08,0.000639054
,2186,AR5-IR,0.000227584,NA,7.70E-08,0.000637483
,2187,AR5-IR,0.000227029,NA,7.11E-08,0.000635917
,2188,AR5-IR,0.000226475,NA,6.56E-08,0.000634355
,2189,AR5-IR,0.000225922,NA,6.05E-08,0.000632798
,2190,AR5-IR,0.000225371,NA,5.58E-08,0.000631246
,2191,AR5-IR,0.000224822,NA,5.15E-08,0.000629698
,2192,AR5-IR,0.000224273,NA,4.75E-08,0.000628155
,2193,AR5-IR,0.000223726,NA,4.38E-08,0.000626616
,2194,AR5-IR,0.000223181,NA,4.04E-08,0.000625081
,2195,AR5-IR,0.000222636,NA,3.73E-08,0.00062355
,2196,AR5-IR,0.000222093,NA,3.44E-08,0.000622024
,2197,AR5-IR,0.000221552,NA,3.17E-08,0.000620502
,2198,AR5-IR,0.000221011,NA,2.93E-08,0.000618983
,2199,AR5-IR,0.000220472,NA,2.70E-08,0.000617469
,2200,AR5-IR,0.000219934,NA,2.49E-08,0.000615959
,2201,AR5-IR,0.000219398,NA,2.30E-08,0.000614453
,2202,AR5-IR,0.000218863,NA,2.12E-08,0.000612951
,2203,AR5-IR,0.000218329,NA,1.96E-08,0.000611453
,2204,AR5-IR,0.000217797,NA,1.80E-08,0.000609959
,2205,AR5-IR,0.000217265,NA,1.66E-08,0.000608468
,2206,AR5-IR,0.000216735,NA,1.54E-08,0.000606982
,2207,AR5-IR,0.000216207,NA,1.42E-08,0.000605499
,2208,AR5-IR,0.00021568,NA,1.31E-08,0.00060402
,2209,AR5-IR,0.000215153,NA,1.21E-08,0.000602545
,2210,AR5-IR,0.000214629,NA,1.11E-08,0.000601074
,2211,AR5-IR,0.000214105,NA,1.03E-08,0.000599606
,2212,AR5-IR,0.000213583,NA,9.47E-09,0.000598142
,2213,AR5-IR,0.000213062,NA,8.73E-09,0.000596682
,2214,AR5-IR,0.000212542,NA,8.06E-09,0.000595225
,2215,AR5-IR,0.000212024,NA,7.43E-09,0.000593772
,2216,AR5-IR,0.000211507,NA,6.86E-09,0.000592323
,2217,AR5-IR,0.000210991,NA,6.32E-09,0.000590877
,2218,AR5-IR,0.000210476,NA,5.83E-09,0.000589435
,2219,AR5-IR,0.000209963,NA,5.38E-09,0.000587996
,2220,AR5-IR,0.000209451,NA,4.97E-09,0.000586562
,2221,AR5-IR,0.00020894,NA,4.58E-09,0.00058513
,2222,AR5-IR,0.00020843,NA,4.23E-09,0.000583702
,2223,AR5-IR,0.000207922,NA,3.90E-09,0.000582278
,2224,AR5-IR,0.000207415,NA,3.60E-09,0.000580857
,2225,AR5-IR,0.000206909,NA,3.32E-09,0.00057944
,2226,AR5-IR,0.000206404,NA,3.06E-09,0.000578026
,2227,AR5-IR,0.000205901,NA,2.82E-09,0.000576616
,2228,AR5-IR,0.000205399,NA,2.60E-09,0.000575209
,2229,AR5-IR,0.000204898,NA,2.40E-09,0.000573806
,2230,AR5-IR,0.000204398,NA,2.22E-09,0.000572406
,2231,AR5-IR,0.0002039,NA,2.05E-09,0.000571009
,2232,AR5-IR,0.000203402,NA,1.89E-09,0.000569616
,2233,AR5-IR,0.000202906,NA,1.74E-09,0.000568227
,2234,AR5-IR,0.000202411,NA,1.61E-09,0.000566841
,2235,AR5-IR,0.000201918,NA,1.48E-09,0.000565458
,2236,AR5-IR,0.000201425,NA,1.37E-09,0.000564079
,2237,AR5-IR,0.000200934,NA,1.26E-09,0.000562703
,2238,AR5-IR,0.000200444,NA,1.16E-09,0.00056133
,2239,AR5-IR,0.000199955,NA,1.07E-09,0.000559961
,2240,AR5-IR,0.000199467,NA,9.90E-10,0.000558595
,2241,AR5-IR,0.000198981,NA,9.13E-10,0.000557232
,2242,AR5-IR,0.000198495,NA,8.42E-10,0.000555873
,2243,AR5-IR,0.000198011,NA,7.77E-10,0.000554517
,2244,AR5-IR,0.000197528,NA,7.17E-10,0.000553164
,2245,AR5-IR,0.000197046,NA,6.61E-10,0.000551815
,2246,AR5-IR,0.000196566,NA,6.10E-10,0.000550469
,2247,AR5-IR,0.000196086,NA,5.63E-10,0.000549126
,2248,AR5-IR,0.000195608,NA,5.19E-10,0.000547787
,2249,AR5-IR,0.000195131,NA,4.79E-10,0.000546451
,2250,AR5-IR,0.000194655,NA,4.42E-10,0.000545118
,2251,AR5-IR,0.00019418,NA,4.08E-10,0.000543788
,2252,AR5-IR,0.000193707,NA,3.76E-10,0.000542462
,2253,AR5-IR,0.000193234,NA,3.47E-10,0.000541139
,2254,AR5-IR,0.000192763,NA,3.20E-10,0.000539819
,2255,AR5-IR,0.000192293,NA,2.95E-10,0.000538502
,2256,AR5-IR,0.000191824,NA,2.72E-10,0.000537189
,2257,AR5-IR,0.000191356,NA,2.51E-10,0.000535879
,2258,AR5-IR,0.000190889,NA,2.32E-10,0.000534572
,2259,AR5-IR,0.000190424,NA,2.14E-10,0.000533268
,2260,AR5-IR,0.000189959,NA,1.97E-10,0.000531967
,2261,AR5-IR,0.000189496,NA,1.82E-10,0.000530669
,2262,AR5-IR,0.000189034,NA,1.68E-10,0.000529375
,2263,AR5-IR,0.000188573,NA,1.55E-10,0.000528084
,2264,AR5-IR,0.000188113,NA,1.43E-10,0.000526796
,2265,AR5-IR,0.000187654,NA,1.32E-10,0.000525511
,2266,AR5-IR,0.000187196,NA,1.22E-10,0.000524229
,2267,AR5-IR,0.00018674,NA,1.12E-10,0.000522951
,2268,AR5-IR,0.000186284,NA,1.03E-10,0.000521675
,2269,AR5-IR,0.00018583,NA,9.55E-11,0.000520403
,2270,AR5-IR,0.000185377,NA,8.81E-11,0.000519133
,2271,AR5-IR,0.000184924,NA,8.12E-11,0.000517867
,2272,AR5-IR,0.000184473,NA,7.49E-11,0.000516604
,2273,AR5-IR,0.000184023,NA,6.91E-11,0.000515344
,2274,AR5-IR,0.000183575,NA,6.38E-11,0.000514087
,2275,AR5-IR,0.000183127,NA,5.88E-11,0.000512833
,2276,AR5-IR,0.00018268,NA,5.43E-11,0.000511582
,2277,AR5-IR,0.000182235,NA,5.01E-11,0.000510335
,2278,AR5-IR,0.00018179,NA,4.62E-11,0.00050909
,2279,AR5-IR,0.000181347,NA,4.26E-11,0.000507848
,2280,AR5-IR,0.000180905,NA,3.93E-11,0.00050661
,2281,AR5-IR,0.000180463,NA,3.63E-11,0.000505374
,2282,AR5-IR,0.000180023,NA,3.35E-11,0.000504141
,2283,AR5-IR,0.000179584,NA,3.09E-11,0.000502912
,2284,AR5-IR,0.000179146,NA,2.85E-11,0.000501685
,2285,AR5-IR,0.000178709,NA,2.63E-11,0.000500462
,2286,AR5-IR,0.000178273,NA,2.42E-11,0.000499241
,2287,AR5-IR,0.000177838,NA,2.24E-11,0.000498023
,2288,AR5-IR,0.000177405,NA,2.06E-11,0.000496809
,2289,AR5-IR,0.000176972,NA,1.90E-11,0.000495597
,2290,AR5-IR,0.00017654,NA,1.76E-11,0.000494388
,2291,AR5-IR,0.00017611,NA,1.62E-11,0.000493182
,2292,AR5-IR,0.00017568,NA,1.49E-11,0.000491979
,2293,AR5-IR,0.000175252,NA,1.38E-11,0.000490779
,2294,AR5-IR,0.000174824,NA,1.27E-11,0.000489582
,2295,AR5-IR,0.000174398,NA,1.17E-11,0.000488388
,2296,AR5-IR,0.000173973,NA,1.08E-11,0.000487197
,2297,AR5-IR,0.000173548,NA,9.98E-12,0.000486009
,2298,AR5-IR,0.000173125,NA,9.21E-12,0.000484823
,2299,AR5-IR,0.000172703,NA,8.49E-12,0.000483641
,2300,AR5-IR,0.000172281,NA,7.84E-12,0.000482461
,2301,AR5-IR,0.000171861,NA,7.23E-12,0.000481285
,2302,AR5-IR,0.000171442,NA,6.67E-12,0.000480111
,2303,AR5-IR,0.000171024,NA,6.15E-12,0.00047894
,2304,AR5-IR,0.000170607,NA,5.68E-12,0.000477772
,2305,AR5-IR,0.000170191,NA,5.24E-12,0.000476606
,2306,AR5-IR,0.000169776,NA,4.83E-12,0.000475444
,2307,AR5-IR,0.000169361,NA,4.46E-12,0.000474284
,2308,AR5-IR,0.000168948,NA,4.11E-12,0.000473127
,2309,AR5-IR,0.000168536,NA,3.79E-12,0.000471973
,2310,AR5-IR,0.000168125,NA,3.50E-12,0.000470822
,2311,AR5-IR,0.000167715,NA,3.23E-12,0.000469674
,2312,AR5-IR,0.000167306,NA,2.98E-12,0.000468528
,2313,AR5-IR,0.000166898,NA,2.75E-12,0.000467386
,2314,AR5-IR,0.000166491,NA,2.53E-12,0.000466246
